,id,fleet,fleet_name,unit_number,unit_id,asset_id,asset_label,asset_label_slug,asset_type,asset_type_display,asset_make,asset_model,asset_year,asset_group_name,start_date,end_date,alert_type,alert_id,tags,severity_text,status,workflow_state,workflow_state_display,short_desc,long_desc,values,created_on,updated_on,source,read_by,read,rtdv_url,reviewed_by,repairplans
43,776579,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-25 18:20:41+0000,2023-06-26 13:29:12+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 264.323214}",2023-06-25 19:25:25+0000,2023-06-27 17:46:16+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-25T17:20:41&end=2023-06-26T13:29:12&alert_type=faultcode&alert_pk=776579&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
5,771902,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-22 23:13:32+0000,2023-06-22 23:13:32+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 272.517802}",2023-06-23 00:19:32+0000,2023-06-23 21:44:46+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-22T22:13:32&end=2023-06-22T23:13:32&alert_type=faultcode&alert_pk=771902&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
18,769673,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-21 21:16:49+0000,2023-06-22 01:12:01+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 372.73415300000005}",2023-06-21 22:22:15+0000,2023-06-22 15:34:43+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-21T20:16:49&end=2023-06-22T01:12:01&alert_type=faultcode&alert_pk=769673&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
30,767632,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-20 23:21:14+0000,2023-06-21 08:00:55+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 302.18529}",2023-06-21 00:25:42+0000,2023-06-21 14:06:37+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-20T22:21:14&end=2023-06-21T08:00:55&alert_type=faultcode&alert_pk=767632&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
44,764724,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-19 14:24:10+0000,2023-06-19 17:39:53+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 317.51907400000005}",2023-06-19 15:30:17+0000,2023-06-21 00:25:42+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-19T13:24:10&end=2023-06-19T17:39:53&alert_type=faultcode&alert_pk=764724&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
13,759074,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-16 11:51:50+0000,2023-06-16 11:51:50+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 222.985892}",2023-06-16 12:56:16+0000,2023-06-19 15:30:17+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-16T10:51:50&end=2023-06-16T11:51:50&alert_type=faultcode&alert_pk=759074&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
25,757348,176,Metrolinx,gt-g9akavr6my92,12744,1153728,8355,8355,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-15 17:47:25+0000,2023-06-16 02:27:04+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 247.56073700000002}",2023-06-15 17:55:22+0000,2023-06-16 19:52:22+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9akavr6my92&start=2023-06-15T16:47:25&end=2023-06-16T02:27:04&alert_type=faultcode&alert_pk=757348&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],"[{'id': 13416, 'author': 236, 'author_username': 'sam@preteckt.com', 'author_full_name': 'Sam Lavery', 'has_edit_access': False, 'alerts': [757348], 'asset': 1153728, 'asset_label': '8355', 'fleet': 176, 'fleet_name': 'Metrolinx', 'group': None, 'vin': 'SFEA11115GTN40062', 'vmrs_codes': ['043-007-170', '043-007-171'], 'raw_content': 'Cummins Faults - 6613, 4572, 4677, 3868\nThis vehicle has set a fault code for DEF tank Temperature, Level and Quality. Recommend checking the wiring and connector for the DEF tank level/quality sensor and if no fault is found replace the sensor as it has failed.', 'rendered_content': '<p>Cummins Faults - 6613, 4572, 4677, 3868\nThis vehicle has set a fault code for DEF tank Temperature, Level and Quality. Recommend checking the wiring and connector for the DEF tank level/quality sensor and if no fault is found replace the sensor as it has failed.</p>', 'state': 'open', 'comments_count': 0, 'updated_on': '2023-06-16 19:52:21+0000', 'created_on': '2023-06-16 19:52:20+0000'}]"
32,756832,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-15 11:19:26+0000,2023-06-15 19:08:30+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 240.104679}",2023-06-15 12:28:32+0000,2023-06-16 12:56:16+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-15T10:19:26&end=2023-06-15T19:08:30&alert_type=faultcode&alert_pk=756832&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
49,752305,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-13 11:14:21+0000,2023-06-13 20:59:34+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 242.995889}",2023-06-13 12:37:32+0000,2023-06-15 12:28:32+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-13T10:14:21&end=2023-06-13T20:59:34&alert_type=faultcode&alert_pk=752305&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
18,744798,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-09 12:33:54+0000,2023-06-09 12:33:54+0000,faultcode,47871248,['SCR'],Severe,active,active,Active,SPN-FMI: 5842-14,5842-14: SCR Monitoring System Malfunction - Special Instructions,"{'FMI': 14, 'SPN': 5842, 'count': 1, 'source': 0, 'ingestion_delay': 393.428045}",2023-06-09 13:41:09+0000,2023-06-09 14:32:34+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-09T11:33:54&end=2023-06-09T12:33:54&alert_type=faultcode&alert_pk=744798&spn=0&spn=5842&spn=84&spn=190,['sam@preteckt.com'],[]
38,737137,176,Metrolinx,gt-g9nunphzm2ww,12737,1153750,8488,8488,bus,Bus,ALEXANDER DENNIS LIMITED,,2018,Alexander Dennis Buses,2023-06-06 05:56:35+0000,2023-06-06 07:53:28+0000,faultcode,47811088,['DPF'],Severe,active,active,Active,SPN-FMI: 5835-3,5835-3: Aftertreatment 1 Particulate Sensor Circuit - Voltage Above Normal or Shorted to High Source,"{'FMI': 3, 'SPN': 5835, 'count': 1, 'source': 0, 'ingestion_delay': 223.68941900000002}",2023-06-06 06:22:59+0000,2023-06-06 14:12:03+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9nunphzm2ww&start=2023-06-06T04:56:35&end=2023-06-06T07:53:28&alert_type=faultcode&alert_pk=737137&spn=0&spn=5835&spn=84&spn=190,['sam@preteckt.com'],[]
